Nr_Brd_Full,Qty_FULL,Nr_Brd_Partial,Qty_PARTIAL,QTY_TOATL,ON_FARNELL,MPN,Order_Code
3,35,4,27,213,1414610,C0603C104K4RACTU,"1414610,213,C0603C104K4RACTU"
3,6,4,3,30,9402080,CC0603KRX5R6BB105,"9402080,30,CC0603KRX5R6BB105"
3,2,4,0,6,2611942,GRM21BR61H475KE51L,"2611942,6,GRM21BR61H475KE51L"
3,2,4,0,6,2611939,GRM21BR61A476ME15L,"2611939,6,GRM21BR61A476ME15L"
3,2,4,2,14,2309033,EMK325ABJ107MM-T,"2309033,14,EMK325ABJ107MM-T"
3,4,4,4,28,1762635,GRM21BR61C106KE15L,"1762635,28,GRM21BR61C106KE15L"
3,4,4,4,28,1907510,GRM21BR61E226ME44L,"1907510,28,GRM21BR61E226ME44L"
3,2,4,2,14,2773145,C0603C270K5GACTU,"2773145,14,C0603C270K5GACTU"
3,12,4,12,84,722236,CC0603KRX7R9BB103,"722236,84,CC0603KRX7R9BB103"
3,1,4,0,3,9551280,SS14-E3/61T,"9551280,3,SS14-E3/61T"
3,3,4,3,21,1336557,SSB44-E3/52T,"1336557,21,SSB44-E3/52T"
3,1,4,1,7,3796308,MP008279,"3796308,7,MP008279"
3,1,4,1,7,3796325,MP008293,"3796325,7,MP008293"
3,1,4,1,7,2749175,SM712-02HTG,"2749175,7,SM712-02HTG"
3,2,4,0,6,2850019,MCCFB1206TFF/375,"2850019,6,MCCFB1206TFF/375"
3,1,4,1,7,1652164,SF-1206S300-2,"1652164,7,SF-1206S300-2"
3,3,4,0,9,1515661,BLM21PG221SN1D,"1515661,9,BLM21PG221SN1D"
3,1,4,1,7,3881938,68691-440HLF,"3881938,7,68691-440HLF"
3,1,4,1,7,2470821,614105150721,"2470821,7,614105150721"
3,1,4,0,3,3465045,208658-1001,"3465045,3,208658-1001"
3,1,4,0,3,2528035,4-1734839-0,"2528035,3,4-1734839-0"
3,1,4,1,7,1248135,826925-5,"1248135,7,826925-5"
3,1,4,0,3,1450206,67643-0910,"1450206,3,67643-0910"
3,1,4,1,7,2401261,L777TSEG09POL2RM8,"2401261,7,L777TSEG09POL2RM8"
3,1,4,1,7,1131855,PM5.08/2/90 BLK,"1131855,7,PM5.08/2/90 BLK"
3,1,4,1,7,2401266,L77TSEH09SOL2RM8,"2401266,7,L77TSEH09SOL2RM8"
3,1,4,0,3,2329224,SRN4018-330M,"2329224,3,SRN4018-330M"
3,4,4,4,28,1698010,IHLP2020BZER4R7M01,"1698010,28,IHLP2020BZER4R7M01"
3,2,4,0,6,2427678,DF40C-100DP-0.4V(51),"2427678,6,DF40C-100DP-0.4V(51)"
3,9,4,2,35,9233130,RC0603JR-070RL,"9233130,35,RC0603JR-070RL"
3,3,4,3,21,9238549,RC0603FR-073K3L,"9238549,21,RC0603FR-073K3L"
3,1,4,1,7,3951237,RC0603FR-132K2L,"3951237,7,RC0603FR-132K2L"
3,9,4,8,59,9238603,RC0603FR-0710KL,"9238603,59,RC0603FR-0710KL"
3,1,4,0,3,3223654,CR1206AF/-4R70EAS,"3223654,3,CR1206AF/-4R70EAS"
3,1,4,1,7,3951497,RC0603FR-071KP,"3951497,7,RC0603FR-071KP"
3,2,4,2,14,3951609,RC0603FR-0727R4L,"3951609,14,RC0603FR-0727R4L"
3,2,4,2,14,9233385,RC0603JR-071KL,"9233385,14,RC0603JR-071KL"
3,12,4,12,84,2309107,RC0603FR-13100KL,"2309107,84,RC0603FR-13100KL"
3,24,4,24,168,9238425,RC0603FR-07330RL,"9238425,168,RC0603FR-07330RL"
3,4,4,4,28,3951355,RC0603FR-074K7P,"3951355,28,RC0603FR-074K7P"
3,2,4,2,14,3464290,KSC721J LFS,"3464290,14,KSC721J LFS"
3,1,4,1,7,2519495,MAX485CSA+,"2519495,7,MAX485CSA+"
3,1,4,0,3,1824780,TS19371CX6 RFG,"1824780,3,TS19371CX6 RFG"
3,1,4,0,3,3008610,TSC2007IPWR,"3008610,3,TSC2007IPWR"
3,1,4,1,7,2849778,LD2980ABM50TR,"2849778,7,LD2980ABM50TR"
3,1,4,1,7,4028954,ADP2303ARDZ-3.3-R7,"4028954,7,ADP2303ARDZ-3.3-R7"
3,1,4,1,7,4028955,ADP2303ARDZ-5.0-R7,"4028955,7,ADP2303ARDZ-5.0-R7"
3,1,4,1,7,2807044,VN5E160STR-E,"2807044,7,VN5E160STR-E"
3,1,4,1,7,2901144,IS25LP128F-JBLE,"2901144,7,IS25LP128F-JBLE"
3,1,4,1,7,3766082,RP2040CT,"3766082,7,RP2040CT"
3,2,4,2,14,3869998,"TC78H611FNG(O,EL)","3869998,14,TC78H611FNG(O,EL)"
3,1,4,1,7,1630424,MCP3424-E/SL,"1630424,7,MCP3424-E/SL"
3,3,4,2,17,3116498,TPD2E009DBZR,"3116498,17,TPD2E009DBZR"
3,3,4,1,13,1751962,HDMIULC6-4SC6,"1751962,13,HDMIULC6-4SC6"
3,1,4,1,7,2308709,ABM8G-12.000MHZ-18-D2Y-T,"2308709,7,ABM8G-12.000MHZ-18-D2Y-T"