Qty,ON_FARNELL,MPN,
35,1414610,C0603C104K4RACTU,"1414610,35,C0603C104K4RACTU"
6,9402080,CC0603KRX5R6BB105,"9402080,6,CC0603KRX5R6BB105"
2,2611942,GRM21BR61H475KE51L,"2611942,2,GRM21BR61H475KE51L"
2,2611939,GRM21BR61A476ME15L,"2611939,2,GRM21BR61A476ME15L"
2,2309033,EMK325ABJ107MM-T,"2309033,2,EMK325ABJ107MM-T"
4,1762635,GRM21BR61C106KE15L,"1762635,4,GRM21BR61C106KE15L"
4,1907510,GRM21BR61E226ME44L,"1907510,4,GRM21BR61E226ME44L"
2,2773145,C0603C270K5GACTU,"2773145,2,C0603C270K5GACTU"
12,722236,CC0603KRX7R9BB103,"722236,12,CC0603KRX7R9BB103"
1,9551280,SS14-E3/61T,"9551280,1,SS14-E3/61T"
3,1336557,SSB44-E3/52T,"1336557,3,SSB44-E3/52T"
1,3796308,MP008279,"3796308,1,MP008279"
1,3796325,MP008293,"3796325,1,MP008293"
1,2749175,SM712-02HTG,"2749175,1,SM712-02HTG"
2,2850019,MCCFB1206TFF/375,"2850019,2,MCCFB1206TFF/375"
1,1652164,SF-1206S300-2,"1652164,1,SF-1206S300-2"
3,1515661,BLM21PG221SN1D,"1515661,3,BLM21PG221SN1D"
1,3881938,68691-440HLF,"3881938,1,68691-440HLF"
1,2470821,614105150721,"2470821,1,614105150721"
1,3465045,208658-1001,"3465045,1,208658-1001"
1,2528035,4-1734839-0,"2528035,1,4-1734839-0"
1,1248135,826925-5,"1248135,1,826925-5"
1,1450206,67643-0910,"1450206,1,67643-0910"
1,2401261,L777TSEG09POL2RM8,"2401261,1,L777TSEG09POL2RM8"
1,1131855,PM5.08/2/90 BLK,"1131855,1,PM5.08/2/90 BLK"
1,2401266,L77TSEH09SOL2RM8,"2401266,1,L77TSEH09SOL2RM8"
1,2329224,SRN4018-330M,"2329224,1,SRN4018-330M"
4,1698010,IHLP2020BZER4R7M01,"1698010,4,IHLP2020BZER4R7M01"
2,2427678,DF40C-100DP-0.4V(51),"2427678,2,DF40C-100DP-0.4V(51)"
9,9233130,RC0603JR-070RL,"9233130,9,RC0603JR-070RL"
3,9238549,RC0603FR-073K3L,"9238549,3,RC0603FR-073K3L"
1,3951237,RC0603FR-132K2L,"3951237,1,RC0603FR-132K2L"
9,9238603,RC0603FR-0710KL,"9238603,9,RC0603FR-0710KL"
1,3223654,CR1206AF/-4R70EAS,"3223654,1,CR1206AF/-4R70EAS"
1,3951497,RC0603FR-071KP,"3951497,1,RC0603FR-071KP"
2,3951609,RC0603FR-0727R4L,"3951609,2,RC0603FR-0727R4L"
2,9233385,RC0603JR-071KL,"9233385,2,RC0603JR-071KL"
12,2309107,RC0603FR-13100KL,"2309107,12,RC0603FR-13100KL"
24,9238425,RC0603FR-07330RL,"9238425,24,RC0603FR-07330RL"
4,3951355,RC0603FR-074K7P,"3951355,4,RC0603FR-074K7P"
2,3464290,KSC721J LFS,"3464290,2,KSC721J LFS"
1,2519495,MAX485CSA+,"2519495,1,MAX485CSA+"
1,1824780,TS19371CX6 RFG,"1824780,1,TS19371CX6 RFG"
1,3008610,TSC2007IPWR,"3008610,1,TSC2007IPWR"
1,2849778,LD2980ABM50TR,"2849778,1,LD2980ABM50TR"
1,4028954,ADP2303ARDZ-3.3-R7,"4028954,1,ADP2303ARDZ-3.3-R7"
1,4028955,ADP2303ARDZ-5.0-R7,"4028955,1,ADP2303ARDZ-5.0-R7"
1,2807044,VN5E160STR-E,"2807044,1,VN5E160STR-E"
1,2901144,IS25LP128F-JBLE,"2901144,1,IS25LP128F-JBLE"
1,3766082,RP2040CT,"3766082,1,RP2040CT"
2,3869998,"TC78H611FNG(O,EL)","3869998,2,TC78H611FNG(O,EL)"
1,1630424,MCP3424-E/SL,"1630424,1,MCP3424-E/SL"
3,3116498,TPD2E009DBZR,"3116498,3,TPD2E009DBZR"
3,1751962,HDMIULC6-4SC6,"1751962,3,HDMIULC6-4SC6"
1,2308709,ABM8G-12.000MHZ-18-D2Y-T,"2308709,1,ABM8G-12.000MHZ-18-D2Y-T"